Words,w2,w3,w4,w5
基本,年寄り,時々,国語,以上
停電,高価,今日,見る,今回
大学,再三,雨天,中心,優先
四つ,輸入,気分,図書館,土手
二つ,人間,円柱,金庫,食べる
天才,上る,六時,北東,名物
椅子,左肩,行動,三振,五感
水泳,会話,東北,山火事,通学
毎日,月末,十七,午前中,半ば
先生,子供,物語,小さい,十六
万能,小説,瞬間,七夕,お金
南極,友達,金融,生む,多分
後ろ,十分,万年筆,千円札,出血
生活,電池,お父さん,上着,女子
少年,分析,五つ,東方,本物
大人,東部,男子,自転車,第三者
夜中,地下鉄,生まれる,半端,万事
半島,何で,午後,水道,並行
高速,北海道,母校,名刺,乳母車
七つ,書く,上げる,長男,去年
九つ,言語,女の子,解読,以下
木材,お母さん,南瓜,休憩,男女
毎朝,読む,友人,本来,火事
六つ,見せる,大半,時間割,大勢
英語,駐車場,自分,菓子,交友
新聞,円滑,購読,以外,何となく
二十日,電気,外国,電車,十九
小学校,右側,将来,聴聞,見聞
自動車,六日,関西,入れる,数百
西洋,南北,商人,一日,右足
月給,輸出,淡水,二十歳,成長
五日,八丁,休暇,後者,見物
時間,男の子,直後,何分,雨具
父親,高校,九州,当時,気候
三つ,議長,最高,月並み,二番
国民,天候,本質,留学,水分
金属,来週,食欲,六角,生意気
署名,海外,先ず,何百,氷山
読書,今年,月賦,校庭,木の葉
午前,生きる,何しろ,東西,帽子
食堂,国語,息子,粘土,十日
祖母,手前,話す,左右,堀川
女性,七日,花火,八百屋,小売
北側,時計,長い,大切,月謝
学校,最後,前提,平日,来日
正午,現金,並木,円高,千葉県
八つ,毎晩,十字路,南東,電車
梅雨,土地,土台,二日酔い,休息
登山,何千,十八番,行く,南側
友情,人口,川岸,名前,祝日
今週,火山,花見,親友,十七日
右手,少女,発車,人間,晴天
教科書,午前,書店,谷川,外国
気分,先週,大変,先輩,西日
発見,火山,一緒,出す,略語
円満,二十日,東側,世話,左側
千里,祖父母,天気,今朝,北東
東京,本能,登校,五目,四国
土産,百姓,山脈,天然,高い
火災,有名,途中,雨季,電話
左手,銀行,百貨店,社長,校舎
夏休み,日記,左利き,四日,背中
電話,聞く,出る,木綿,人生
小川,真っ白,入学,下火,一言
一番,四季,入学,彼女,祖父
未来,半分,二部,本棚,今後
時間,植木,三日,九重,青白い
収入,五分,面白い,下がる,間に合う
中学校,莫大,青年,告白,国際
上手,川沿い,名所,万引き,円卓
出版,一致,右折,左折,北口
郊外,休む,小屋,半分,時刻表
白い,雨戸,外国人,毎度,午後中
八百屋,数学,電気,食品,毎回
何時も,万一,聞こえる,国籍,読み方
病気,食事,四角,母親,八日
男性,西暦,数千,高校,書類
靴下,九日,下手,今年,以前
校長,香水,日付,天気予報,話し合う
旅行,中立,毎日,伯父,入る
