Words,Kana,Meaning
花子,はなこ,Hanako (name of a person)
さん,さん,honorific title after the name
が,が,ga particle indicates the subject
来た,きた,came
空,そら,sky
青い,あおい,blue
地下鉄,ちかてつ,subway
便利,べんり,convenient
だ,だ,copula (informal)
ジョン  ,ジョン  ,John (name of a person)
アメリカじん,アメリカじん,American
です,です,copula (formal)
この,この,this (+noun)
辞書,じしょ,dictionary
は,は,wa particle indicates the topic
安くて,やすくて,cheap (in connective-form)
りな,りな,Rina (name of a person)
きれいで,きれいで,beautiful (in connective-form)
やさしい,やさしい,kind
ウン,ウン,Wong (name of a person)
中国人,ちゅうごくじん,Chinese
キム,キム,Kim (name of a person)
韓国人,かんこくじん,Korean
私,わたし,I
朝,あさ,"morning, a.m."
六時,ろくじ,6 o’clock
に,に,at - ni particle (indicates the time)
起き,おき,wakes (a noun derived from a verb)
夜,よる,"night, evening"
十時,じゅうじ,10 o’clock
ごろ,ごろ,"about, around (approx. time)"
寝る,ねる,sleep
山田,やまだ,Yamada (name of a person)
ラメン,ラメン,ramen
を,を,wo particle (indicates the direct object)
食べて,たべて,eat (verb te-form)
ビール,ビール,beer
飲む,のむ,drink
事件,じけん,"event, affair, incident"
ほぼ,ほぼ,"almost, roughly, more or less"
終息した,しゅうそくした,"having ended, resolved (verb ta-form)"
し,し,shi particle (indicates reasons)
二度,にど,"twice, two times"
と,と,to particle (connects multiple nouns)
起こる,おこる,to happen
ことはない,ことはない,not a thing / not a fact
起こることはない,おこることはない,not to happen
バッグ,バッグ,bag
大きい,おおきい,big
ねだん,ねだん,price
も,も,also - mo particle (indicates likelihood)
手頃,てごろ,"handy, convenient, suitable"
いい,いい,good
よ,よ,"yo particle (assertion, informing s.t)"
いいですよ,いいですよ,"it’s good, it’s alright"
家内,かない,own’s wife
語,ご,language
フランス語,フランスご,French languange
話せる,はなせる,can speak (verb potential-form)
話せない,話せない,can’t speak
入って,はいって,enter (verb te-form)
入ってもいい,はいってもいい,it’s ok to enter
けど,けど,but
しずか,しずか,"quite, silent"
しずかにして,しずかにして,do quietly
ください,ください,please
ね,ね,ne particle (indicates agreement)
あそびたい,あそびたい,"wants to play, hang-out (verb tai-form)"
けれども,けれども,but
宿題,しゅくだい,assignment
まだ,まだ,"still, not yet"
終わってない,おわってない,not finished (currently)
